TranslatedRecipeName,TotalTimeInMins
Masala Karela,45
Spicy Tomato Rice ,15
Ragi Semiya Upma,50
Gongura Chicken Curry,45
Andhra Style Alam Pachadi,30
Pudina Khara Pongal  ,30
Udupi Style Ash Gourd Coconut Curry,40
Mexican Style Black Bean Burrito,40
Spicy Crunchy Masala Idli,30
Cauliflower Leaves Chutney ,25
Homemade Baked Beans  ,120
Veg Chili Cheese Burgers,55
Andhra Steel Ingavu Charu,30
And fish soup,20
Saunf Aloo ,25
South Indian Onion Chutney,40
Hariyali Egg Curry  In Coriander and Mint Grav,35
Gourd Raita,30
Homemade Tater Tots,60
Chettinad Vegetable Casserole,60
Garlic Amla Chutney,15
Maharashtrian Kakdi Thalipeeth,60
Homemade Healthy Subway Sandwich  With Beet & Sprou,30
South Indian Style Murungakkai Poriyal,45
Kesar Mango Lassi,25
Chettinad Sweet Paniyaram,25
Mini Dal Samosa Curry / Sabzi,35
Spinach Garlic Bruschetta  With Red Bell Pepper Sauc,30
Mini Dal Mature Chat,65
Asian Style Sweet & Spicy Green Beans,25
Chinese Darsaan  With Ice Crea,40
Sundakkai and Methi Leaves Sambar,65
"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing",15
Matar Samosa,55
Eggless Chocolate Cupcakes With Raspberry & Cheese Frostin,40
Kerala pala pradham,90
Tindora Sambharo,35
Chettinad Style Chicken Roast,35
Palakottai Kujambu,25
Baingan Bharta,60
Kesar Chai,10
Pacha Manga Pachadi,35
Short Knot Husband,55
Whole Wheat Crepe  With Herbed Vegetable,55
Makki and Methi Roti,30
Cabbage and Carrot Sambharo,30
Whole Wheat Pita Bread,70
Andhra Steel Tomato Knock  ,75
Herbal Brown Rice,30
Aamras,15
Rajasthani very roti,45
Peerkangai Thogayal  ,25
Dalia Pakora,25
Paneer Tikka Saddle Roll,60
Pan Fried Rice Balls Filled With Cheese,65
Spicy Seafood Stew Casserole With Tomatoes And Lime,65
Spicy Chilli Garlic Noodles,40
Chanar Dal,75
Cheesy Garlic Broccoli Nuggets,35
Bengali radish potato vegetable,35
Beetroot Sambar,55
Kaddu Palak Roti  ,35
Iranian Baida Curry,40
Vegan Chickpea Omelette  ,50
Peanut Pudding,40
Singapore Style Chicken Layered Fried Rice,75
Tofu Pulao,65
Masala Sandwich  With Rocket Leave,30
Tomato Relish,30
Dubuk Vade,45
Radish Soup,40
Mango Donut Cake  With Chocolate Glaz,51
Matar Paneer Kachori Korma,80
Zucchini Roll Up Lasagne,65
Thengai Sadam  ,60
Karwar Style Ambade Udid Methi,50
Roasted Cauliflower,40
Pain Viennois | Vienna Bread,135
Crunchy Ginger Capsicum Rice,40
Bengali Chirer Payesh / Poha Pudding  With Nolen Gu,45
Makhan  ,10
Shanghai Style Chap Nian Gao s ,100
White Pumpkin Mor Kuzhambu,35
Paneer and Green Peas Paratha,65
Elephant Yam Raita ,40
Drunken Noodles,35
Chettinad Style Prawn Biryani,55
Walnut and Flax Seed Trail Mix  With Figs and Hone,25
Murgh Malaiwala,180
Paal Kesari,35
Spicy Lemon Chicken Kebab,90
Paneer Butter Masala Biryani,45
Gond Ke Ladoo,75
Mukhadi Halwa  ,40
Kobari Charu,50
Basil Tincture  ,10
Carrot Corn Mayo Pancake  With Sandwich Sprea,55
Tamil Nadu Style Spicy Egg Fry,35
Chirer Dudh Puli,40
Waffle Broth,25
Kashmiri Style Modur Pulao With Pomegranate,160
North Indian Style Mushroom Matar Masala,40
Dhania Chole Masala,540
Capsicum Masala Poriyal ,63
Kerala Style Raw Banana and Suran Kotu Curry,380
Cheese Stuffed Aloo Bonda,45
Dahi Wale Paneer,80
Nutty Aloo Paratha,55
Chicken Tikka Taco  Topped With Cheesy Garlic May,20
Masalewali Turai Sabzi,50
Pudina Mushroom And Soya Biryani,60
White Vegetable Kurma  With Coconut & Cashe,30
Muttaikose Poriyal,45
Bengaluru Style Brinjal Gravy,90
PF Chang's Style Crispy Chicken Lettuce Wraps,25
Lemon Frozen Yogurt,600
Paneer Capsicum Sandwich,20
Dry Suran Masala Vegetable,35
One Pot Pressure Cooker Chicken Curry,40
Lauki Ka Salan,50
Togari Bell Thove,35
Chicken Shawarma,85
Mushroom Paratha,60
Palak Chana Dal,50
Pasi Paruppu Kosumalli  ,45
Maharashtrian Style Semolina and Yogurt Cake,85
Ragi Masala Roti,40
Dry Sweet Potato Thoran,20
Oreo Milkshake,25
Mexican Grilled Corn Flavoured With Cheesy Garlic Mayo,25
Paneer Matar Butter Masala ,60
Dhugare Baingan,25
Rajasthani Style Dried Gatta Capsicum Vegetable,40
Indo Chinese Crispy Chicken Chilli,70
And fish soup,50
Stem Lettuce Tamarind Broth,30
Crispy Masala Peanuts,35
Maa Ki Dal ,160
Palak Mushroom Makhani,40
Dahi Bhalla Papdi Chaat,40
Wheat Grass Shikanj,30
Chole Masala,40
Rajasthani Kachri Chutney,18
Fasting Potato Paneer,80
Katachi Amti ,25
Khara Obbattu  ,75
Cauliflower Matar Bhurji ,45
Kashmiri Style Paneer Masala,35
Aromatic Vegetable Pulao,50
Spicy Curd,30
Mustard Vegetable Curry,50
One Pot Spicy Vegetable Pulao  with Coconut Mil,40
Bengali Aloo Dum,70
Hyderabad Soy Biryani  With Vegetables & Pala,90
North Indian Feni,25
South Indian Papad Curry,25
Moong Dal Khichdi  For Babies And Toddlers Over 10 Month,30
Dahi Wale Aloo  ,55
Vegetable Fried Brown Rice,40
Eggless Devil's Food Cake,110
Bengali Langcha  With Maw,50
Kovakkai Podi Curry,35
Biryani Masala Powder,10
"Chicken Sausages, Baked Beans and Stir Fried Broccoli",40
Crispy Chicken Dumplings,35
Turkish Chicken Gozleme,55
Moon Biscuits  ,40
Andaman Style Steamed Garlic Prawns,40
Fruit Pachadi,20
Aloo Matar Masala Khichdi,25
Rock Toast,18
Potato Vindaloo  ,40
Lu Potol Post  ,60
Aloo Bhey Ki Sabzi  ,45
Classic Grilled Tomato Cucumber Chutney Sandwich,15
Homemade Granola Mix  with Oats & Wheat Flake,40
Baingan Sarson Ka Saag,25
Kalyana Veetu Senai Curry,60
Chettinad Thakkali Sadam  ,20
Thai Yellow Coconut Curry Rice,75
Stuffed Bhindi With Paneer ,40
Bael Ka Sharbat,10
Raw Mango Murabba,35
Karnataka Style Gorai Kai Kara,40
Kunafa With Mango Cottage Cheese Cream,70
Royal Bread Gulab Jamun,40
Safed Achari Baingan,60
Potlankaya Perugu Pachhadi  ,40
Karela Dahi Puri,25
Kasuri Methi and Potato Frying,30
Sprouted Matki Chila  with Spinac,265
Malabar Kaai Curry  With Nenthra Pazha,90
Assamese Sweet Kordoi,40
Steamed Bafauri  ,30
Jodhpuri Aloo,30
Vedakkai Thoran,30
Gram and Potato Dry Vegetable,30
Tomato Chicken Roast  Flavoured With Kasuri Meth,60
Nellikai Oorugai / Amla Sambhario  ,15
Baingan Sarson Ka Saag,25
Stuffed Arbi Paratha,55
Tomato Curry Leaf Chutney,40
Rajasthani Goonde Vegetable  ,50
Raw Jackfruit Burrito,65
Bengali gram dal,40
Hyderabadi Vegetable Biryani,80
Chocolate Chip & Raisin Rolls,205
Baby Corn Cigar,50
Wheat Millet Thepla,45
Kaju Badam Ladoo,45
Spaghetti Aglio Olio With Parmesan & Greens,70
Mushroom Dumpling  With Potatoes ,40
Tomato Curry Leaf Chutney With No Onion No Garlic,40
Baked Oats and Whole Wheat Kachori Stuffed with Peas,65
Masala Carrot And Peas Sandwich,50
Stuffed Onion Vegetable,25
Aam Panna Pani Puri,35
Quinoa Vegetable Upma,50
Whole Wheat Espresso Chocolate Streusel Cake,85
Basella Fritters,25
Fig Honey & Paprika Preserve,40
Sepu Vadi  ,55
Himachali Dry Raw Mango Chutney,20
Vegan Navratan Korma,90
Lentils and Mixed Grains Khichda,60
Chettinad Pakora Curry,50
Banana Pomegranate Raita,150
Dhania Wale Aloo,40
Case Podimas  ,20
Baked Potat,70
Rajasthani Ghasela,30
Andhra Style Bendakaya Charu,25
Mexican Vegetarian Burrito Bowl,75
Dahi Bhindi,60
Palak Paneer Bhurji,45
Badam Halwa,35
Sweet & Spicy Vegetable Hong Kong Style,30
Badam Halwa,35
Tender Coconut Ice Cream,360
Milk Powder Chena Burfi,45
Carrot Orange Walnut Raita ,25
Coffee Chocolate Truffles,90
Karnataka Style Ragi Ujju Rotti,40
Pui Shaker Chorchori,25
Potato Pancakes,35
Bamboo Shoot Stir Fry,30
Udupi Style Red Parboiled Rice Sevai  ,40
Till Wale Aloo,20
Beetroot Loni Sponge Dosa,40
Sweet & Spicy Stuffed Paneer In Kofta Curry,40
Sichuan Style Zhong Shui Jiao  ,65
Spicy Baby Potatoes,40
Barley Whole Wheat Coffee Marble Cake,50
Chettinad Dry Pepper Chicken,40
Andhra Style Lettuce Pulp  ,30
Rich Dark Chocolate Mousse,50
Hunase Gojju,40
Qahwa | Arabic Coffee,30
Broccoli Corn & Barley Soup,45
Spirulina and Mint Basil Pesto Pasta,30
Goan Style Sando  ,495
Til Moongphali Aur Kundru Sabzi,20
Asian Style Honey Soy Sticky Chicken,55
Kaigari Pirattal  ,35
Pomegranate Frozen Margarita,20
Chinese Egg Fried Rice  With Oat,40
Matar Besan and Paneer Cheela,40
Leftover Roti Cutlet,40
Flourless Orange Cake With Cream Cheese Frosting,90
Spicy Paneer Bhurji Pav Sandwich,35
Asian Style Baby Corn With Sesame Seeds and Peanut Sauce,100
Papaya and Carrot Halwa,50
Phalguni Dal ,30
Soft Millet Taco  Topped With Hummus & Veggie,60
Sprouted Moong And Onion Fritters,30
Lemon And Ginger Spicy Black Eyed Beans,45
Gawar Phali Masala Sabzi,35
Corn only quiche,60
Lacha Onion,10
Masala Cornflakes Chicken,50
Tofu Bhurji,40
Savoury Bread Pudding,50
Stuffed Radish Paneer Paratha,30
Orange Peppermint Green Tea Punch,25
Zucchini Tater Tots,40
Moringa Masoor Dal,40
Gujarati Methi Na Dhebra,30
Pear And Walnut Salad,40
Rajasthani Gatte Ki Sabzi  With Onion & Garli,70
Bengali Aloo Potol er Dalna,65
Egg Sholay Kebab,25
One Pot Methi Mushroom Brown Rice Pulao,25
Egg and Bread Fried Rice,30
Veg Mughlai Paratha,40
Crispy Vegetable Tempura,20
Andhra Style Stuffed Boils  ,175
Andhra Style Palakura Vepudu,35
Papaya Orange Pomegranate Salad  With Roasted Peanut,20
Paka Kela Ki Sabzi  | Paka Kela nu Shaak | Gujarati Jain,30
Chocolate Tart,180
Navrang dal,40
Green Moong Dal Sundal,440
Chow Chow Sambar,40
Tamil Nadu Style White Paniyaram,60
Kurkuri Bhindi With Spicy Tomato Yogurt Gravy,60
Thulli  ,40
Gulkand Chai,25
Spinach And Tortellini Soup,50
Cha,220
Four Cheese and Spinach Stuffed Mushrooms,60
Roasted Vegetable Pasta Primavera,60
Kashmiri Style Chicken Pulao,40
Stuffed Tomato With Sti,40
Keeme Ja Bhalla,55
Kabuli Chana Sundal,40
Spinach And Corn Sandwich  Flavored With Sandwich Sprea,40
Spaghetti Pasta  In Roasted Pumpkin Sauc,65
Cold Potato Salad With Cilantro Dressing,15
Pista Burfi,70
No Onion No Garlic Lobia Masala  In Electric Pressure Cooke,30
Instant Puliodarai Powder  ,55
Vendakka Stew  ,25
Party Sev Puri  Filled With Potato & Pomegranate Mint May,35
Rava Chakli,70
Roasted Chickpeas,50
Carrot Chutney,90
Peeled Moong Dal Curry,30
For Chikki,40
Chocolate Glazed Coconut Macaroons,35
Sookhi Moong Palak Dal  ,65
Coconut Chocolate Balls,75
Kerala Style Pacha Mango Avial,40
Stuffed Palak Paneer Parath,80
Meen Vevichathu,40
Masoor Dal Gassi,50
Potato Stuffed Dal Dhokli,100
Green Chilli Chicken Fry,40
Tofu and Chickpea Patty  ,65
Paneer In Coconut Gravy,45
Keerai Masiyal,35
Thai Som Tum  ,25
Desiccated Coconut Coriander Chutney,10
Quick Masala French Toast,20
Kerala Style Tapioca with Coconut Curd Chutney,65
Matcha Cookies,30
"Corn Salad With Radishes, Jalapeño And Lime In Mint Mayo",45
Goan Poee,100
Chunky Cucumber Salsa,45
Grilled Eggplant With Tahini and Yogurt Dip,45
Potato Paneer Curry Without Onion And Garlic  ,80
Fansi Muthia Nu Shaak,40
Kerala Style Appam,230
Kashmiri Style Shab Deg,220
Tofu Banh Mi,50
Sour Sweet Petha  ,40
Macher Chop  ,60
Mixed Sprouts Sabzi,60
Baked Muesli Tart with Strawberry Yogurt and Chia Seeds,70
Banoffee Pie,75
Himachal Style Khatta Jimikand,40
Tulsi and Betel Leaves Rasam,40
Prawn Ghee Roast,25
Rosemary Roasted Potatoes And Pepper Salad,40
Baked Roasted Vegetable Lasagna  With Low Fat Cheese & Oat Sauc,55
Dharwad Peda,120
Chickpea Coconut Milk Curry,45
Vegan Kofta Curry,75
Chana Dal Chutney,25
Coriander Prawn Cakes,30
Delicious Skillet Plum Cake,45
Sweet Potato Dal,45
Beetroot Millet Paniyaram,190
Nutty Oats Almond Truffle,20
Chicken and Mushroom Pot Pie,65
Lentil Sauce,50
Tandoori Aloo Gobi Kathi Roll,60
Roasted Potatoes & Zucchini Bake  In A Creamy Parsley Sauc,45
Spiced Whole Wheat Carrot Cake,75
Grilled Tangy Lime Salmon Steak,25
Bihari Shakarkand Bhujia,20
Egg White Spinach Omelette  With Garlic & Oregan,15
No Onion No Garlic Spiced Apple Tomato Curry,50
Homemade Spicy Ramen with Tofu,55
Ambul Polos Curr,30
Stuffed Gilka  ,30
Drumstick Spinach Juice,35
Palak Paneer,60
Broken Wheat Upma Or Dalia Khichdi  for Babies & Toddler,20
Name Cucumber Salad,65
Crispy Vegetable,410
Dried Neem Flower Flavored Rice ,370
Cauliflower Croquettes,60
Broccoli And Aloo Poriyal,35
Hot and Spicy Chicken Curry Noodles,50
Nendra Pazham Pulissery,25
Spinach Coriander Dosa,55
Rosemary And Thyme Chicken,80
Akoori with Green Peas  ,15
Mishti Doi,40
Whole Wheat Flour Murukku,30
Indian Beaten Coffee  | Dalgona Coffe,5
Coriander and Coconut Chutney,20
Lauki Badi Ki Sabzi ,30
